sample_index,token_id_uint64,mask_id,SALMONELLA_occurrences,DEINOCOCCUS_occurrences,THERMOCOCCUS_occurrences,METHANOSARCINA_occurrences,KLUYVEROMYCES_occurrences,ARABIDOPSIS_occurrences,DROSOPHILA_occurrences,CBRIGGSAE_occurrences
201,6173361913,22,0,0,0,0,0,0,1,0
202,6186602739,23,0,0,0,0,1,17,13,2
203,6190219516,23,0,0,0,0,0,4,3,3
204,6350443635,23,0,0,0,0,0,0,1,0
205,6388741060,23,0,0,0,0,1,1,2,1
206,6392118291,23,1,0,0,0,1,12,11,11
207,6440890219,23,1,0,0,0,0,5,1,1
208,6451363872,24,0,0,0,0,2,56,12,87
209,6468095296,24,0,0,0,0,0,0,0,0
210,6493307092,24,0,0,0,0,0,3,2,1
211,6501171464,24,0,0,0,1,0,6,2,5
212,6543138825,24,1,1,0,0,0,1,2,0
213,6623210759,24,0,0,0,0,0,0,0,2
214,6643790339,24,0,0,0,0,1,11,10,3
215,6722552587,25,0,0,0,0,0,4,1,4
216,6811657731,25,1,0,0,0,0,0,4,2
217,6841631791,25,1,0,1,0,0,1,2,2
218,6848184864,25,0,0,0,0,0,10,4,6
219,6856409091,25,0,0,0,0,1,3,1,0
220,6916716016,25,0,0,0,0,0,0,0,5
221,6978788595,25,0,0,0,0,3,20,6,8
222,6979518334,26,0,0,0,0,1,7,6,7
223,6983254190,26,1,0,0,0,0,5,6,3
224,6996041724,26,0,0,0,0,2,24,46,68
225,7134119950,26,0,0,0,0,0,4,0,0
226,7278104498,27,0,0,0,0,0,1,0,0
227,7407409194,27,0,0,0,0,0,2,3,0
228,7499396479,27,0,0,1,0,1,3,2,0
229,7514496988,27,0,0,0,0,0,1,1,1
230,7564148782,28,0,0,0,0,0,0,2,16
231,7656543220,28,1,0,0,0,0,0,0,0
232,7725649919,28,0,0,0,0,1,9,24,14
233,7776240006,28,0,0,0,0,0,0,6,4
234,7780388863,28,1,0,0,1,2,36,2,14
235,7783317309,28,0,0,0,0,0,10,11,6
236,7784093695,28,0,0,1,1,4,50,24,90
237,7797211328,29,0,0,0,3,12,124,127,41
238,7835025422,29,0,0,0,0,0,11,3,0
239,7916704821,29,0,0,0,0,0,1,0,1
240,7918628851,29,0,0,0,0,1,7,6,44
241,7926211371,29,0,0,0,0,0,0,1,2
242,7950071309,29,0,0,0,0,0,0,2,0
243,7991918079,29,1,0,0,0,0,0,3,4
244,8002698591,29,0,0,0,1,0,3,3,0
245,8019568768,29,0,0,0,0,0,4,1,1
246,8044676016,29,1,0,0,0,0,8,2,22
247,8060202951,30,0,0,0,0,0,3,5,2
248,8066466913,30,1,0,0,0,0,0,0,0
249,8136785375,30,0,0,0,0,0,3,1,3
250,8195617328,30,1,0,0,1,1,1,8,7
251,8245991370,30,0,0,0,0,0,2,1,2
252,8260646668,30,0,0,0,0,0,1,0,2
253,8320710644,30,0,0,0,2,0,16,4,33
254,8320843583,30,0,0,0,1,1,42,32,38
255,8322154739,31,0,0,0,0,2,16,7,4
256,8337776655,31,0,0,0,0,1,3,2,6
257,8384665599,31,0,0,0,0,0,17,4,1
258,8439103584,31,0,0,0,0,0,3,6,1
259,8440413649,31,1,1,1,0,1,0,6,0
260,8443084784,31,0,0,0,0,0,13,16,3
261,8443127651,31,0,0,0,0,0,1,1,0
262,8538911239,31,0,0,0,0,0,0,0,1
263,8585838191,31,0,0,0,0,0,0,1,1
264,8598320981,32,0,0,0,0,0,0,1,2
265,8599025824,32,0,0,0,0,0,1,3,4
266,8657705464,32,0,0,0,0,0,0,0,1
267,8685820592,32,0,0,0,0,0,0,0,1
268,8707372031,32,0,0,0,1,0,23,42,45
269,8714827647,32,0,0,0,0,0,3,0,3
270,8724139089,32,0,0,0,1,0,2,1,3
271,8758452012,32,0,0,0,2,0,0,0,0
272,8794438719,32,1,0,0,1,0,5,7,2
273,8824849455,32,0,0,0,0,0,2,3,7
274,8861565456,33,0,0,0,0,1,5,7,7
275,8862442752,33,0,0,0,0,0,0,0,2
276,8869709935,33,1,0,0,0,0,2,2,2
277,8904998860,33,0,0,0,0,0,3,0,1
278,8908716288,33,0,0,0,0,0,5,11,5
279,8976921473,33,0,0,0,0,0,2,0,0
280,9062856700,33,0,0,0,0,1,15,4,2
