sample_index,token_id_uint64,mask_id,PSEUDOMONAS_occurrences,MYCOPLASMA_occurrences,METHANOCALDOCOCCUS_occurrences,HALOFERAX_occurrences,NEUROSPORA_occurrences,CELEGANS_occurrences
243,7991918079,29,0,0,0,0,1,1
244,8002698591,29,0,0,1,0,0,0
245,8019568768,29,0,0,0,0,0,3
246,8044676016,29,0,1,0,0,0,20
247,8060202951,30,0,0,0,0,0,1
248,8066466913,30,0,0,0,0,0,0
249,8136785375,30,0,0,0,0,2,0
250,8195617328,30,0,0,0,0,0,8
251,8245991370,30,0,0,0,0,0,1
252,8260646668,30,0,0,0,0,0,2
253,8320710644,30,0,0,1,0,1,18
254,8320843583,30,0,0,1,0,5,30
255,8322154739,31,0,0,0,0,0,8
256,8337776655,31,0,0,0,0,0,0
257,8384665599,31,0,0,0,0,1,1
258,8439103584,31,0,0,0,0,0,0
259,8440413649,31,0,0,1,0,4,2
260,8443084784,31,0,0,2,0,1,20
261,8443127651,31,0,0,0,0,0,0
262,8538911239,31,0,0,0,0,0,0
263,8585838191,31,0,0,0,0,0,1
264,8598320981,32,0,0,0,0,0,3
265,8599025824,32,0,0,0,0,0,0
266,8657705464,32,1,0,0,0,0,0
267,8685820592,32,0,0,0,0,0,0
268,8707372031,32,0,0,1,0,0,70
269,8714827647,32,0,0,0,0,1,1
270,8724139089,32,0,0,0,0,1,4
271,8758452012,32,0,0,0,0,0,1
272,8794438719,32,0,0,0,0,3,9
273,8824849455,32,0,0,0,0,0,4
274,8861565456,33,0,0,0,0,0,6
275,8862442752,33,0,0,0,0,0,2
276,8869709935,33,1,0,0,0,0,0
277,8904998860,33,0,0,1,0,0,2
278,8908716288,33,1,0,0,0,3,6
279,8976921473,33,0,0,0,0,0,1
280,9062856700,33,0,0,0,0,0,10
281,9093123580,33,0,0,0,0,1,6
282,9122597883,33,0,0,0,0,0,9
283,9124573429,33,0,0,0,0,0,1
284,9127735412,34,0,0,0,0,0,2
285,9158248410,34,0,0,0,0,1,1
286,9177162033,34,0,0,0,0,0,1
287,9261265504,34,0,0,0,0,1,0
288,9328132160,34,0,0,0,0,3,110
289,9330983677,34,0,0,0,0,1,1
290,9333657084,34,0,0,0,0,0,0
291,9349493381,34,0,0,0,0,0,0
292,9389986042,34,0,0,0,0,0,2
293,9390735343,34,0,0,0,0,1,2
294,9397500914,35,0,0,0,0,0,9
295,9453040845,35,0,0,0,0,0,1
296,9462349823,35,0,1,4,0,256,354
297,9497411056,35,0,0,0,0,1,1
298,9512449360,35,0,0,0,0,0,1
299,9521141696,35,0,0,0,0,1,0
300,9600889317,35,0,0,0,0,1,1
301,9607249851,35,0,0,0,0,0,2
302,9648456458,35,0,0,0,0,0,0
303,9661577213,35,0,0,3,0,56,49
304,9670755168,36,0,0,0,0,0,3
305,9671262223,36,0,3,3,0,0,44
306,9743369472,36,0,0,0,0,3,4
307,9766439884,36,0,0,0,0,0,2
308,9797834103,36,0,0,0,0,3,2
309,9881699266,36,0,0,0,0,0,3
310,9925009424,36,0,0,0,0,0,1
311,9932934093,37,0,0,0,0,0,1
312,9951020259,37,0,0,0,0,0,0
313,10072022945,37,0,0,0,0,0,0
314,10183778314,37,0,0,0,0,0,10
315,10203479947,38,0,0,1,0,2,3
316,10251057104,38,0,0,0,0,0,3
317,10271668210,38,0,0,0,0,0,3
318,10297847932,38,0,0,0,0,0,1
319,10317956108,38,0,1,0,0,0,3
320,10370186560,38,0,0,0,0,0,0
321,10383752751,38,0,0,0,0,1,0
322,10404101146,38,1,0,0,0,0,1
323,10432416573,38,0,0,0,0,0,0
324,10468914172,38,0,0,1,0,1,30
325,10485235703,39,0,0,1,0,2,42
326,10503269515,39,0,0,2,1,1,4
327,10504638216,39,0,0,2,0,2,1
328,10584311699,39,0,0,0,0,0,1
329,10674637021,39,0,0,0,0,0,0
330,10703597563,39,0,0,0,0,3,3
331,10734182261,39,0,0,0,0,0,0
332,10767788007,40,0,0,0,0,0,0
333,10816457218,40,0,0,0,0,1,0
334,10821111768,40,0,0,0,0,0,3
335,10854892064,40,1,0,0,0,1,10
336,10871883659,40,0,0,0,0,0,0
337,10921695691,40,0,0,0,0,1,0
338,10922688764,40,0,0,0,0,0,4
339,11006246912,41,0,1,3,0,11,96
340,11014110245,41,0,0,0,0,1,3
341,11021973494,41,0,0,0,0,0,0
342,11116724650,41,0,0,0,0,0,0
343,11138104602,41,0,0,0,0,0,0
344,11148488704,41,0,0,0,0,1,9
345,11208143312,41,0,0,0,0,0,0
346,11209010595,41,0,0,0,0,0,0
347,11209440736,41,0,0,0,0,1,3
348,11219368059,41,0,0,0,0,0,1
349,11271631095,41,0,0,0,0,1,2
350,11274993680,42,0,0,0,0,1,21
351,11319243808,42,0,0,0,0,0,0
352,11341564929,42,0,0,0,0,0,6
353,11416929730,42,0,0,0,0,0,0
354,11442782210,42,0,0,0,0,1,9
355,11458802444,42,0,0,0,0,0,2
356,11487346667,42,0,0,0,0,1,8
357,11508695091,42,0,0,0,0,0,7
358,11534334276,42,0,0,0,0,0,1
359,11540590079,42,0,0,0,0,2,4
360,11541687712,42,0,0,0,0,0,8
361,11541925884,42,0,0,6,0,11,71
362,11604336863,43,0,0,0,0,0,0
363,11643376127,43,0,0,0,0,1,25
364,11666440183,43,0,0,0,0,0,6
365,11752505280,43,0,0,1,0,2,33
366,11797797630,43,0,0,0,0,0,2
367,11810353392,43,0,0,0,0,1,15
368,11812146176,44,0,0,3,0,14,119
369,11812168112,44,0,0,0,0,0,0
370,11841035679,44,0,0,0,0,2,4
371,11878451391,44,0,0,0,0,0,3
372,11884101553,44,0,0,0,0,0,0
373,11943024637,44,0,0,0,0,0,42
374,11948294144,44,0,0,1,0,1,24
375,11992083456,44,0,0,0,0,1,1
376,12045262642,44,0,0,0,0,0,2
377,12062867699,44,0,0,0,0,7,16
378,12075448304,44,0,0,0,0,0,72
379,12079199036,44,0,0,0,0,3,2
380,12180722930,45,0,0,0,0,0,2
381,12199807025,45,0,0,0,0,0,0
382,12213804736,45,0,0,0,0,1,17
383,12300896288,45,0,0,1,0,1,1
384,12382883632,46,0,0,0,0,1,8
385,12412269530,46,0,0,0,0,1,0
386,12414107393,46,0,0,0,0,1,54
387,12465209321,46,0,0,0,0,0,2
388,12479922037,46,0,0,0,0,1,1
389,12582666305,46,0,0,0,0,0,2
390,12583695168,46,0,0,0,0,0,3
