sample_index,token_id_uint64,mask_id,ECOLI_occurrences,PYRO_occurrences,YEAST_occurrences,all_three_present
289,9330983677,34,1,1,1,1
290,9333657084,34,1,1,1,1
291,9349493381,34,1,1,1,1
292,9389986042,34,1,1,1,1
293,9390735343,34,1,1,1,1
294,9397500914,35,1,1,1,1
295,9453040845,35,1,1,1,1
296,9462349823,35,1,1,71,1
297,9497411056,35,1,1,2,1
298,9512449360,35,1,1,1,1
299,9521141696,35,1,1,1,1
300,9600889317,35,1,1,1,1
301,9607249851,35,1,1,1,1
302,9648456458,35,2,1,1,1
303,9661577213,35,1,1,21,1
304,9670755168,36,1,1,1,1
305,9671262223,36,1,1,2,1
306,9743369472,36,1,1,1,1
307,9766439884,36,1,1,1,1
308,9797834103,36,1,1,1,1
309,9881699266,36,1,1,1,1
310,9925009424,36,1,1,1,1
311,9932934093,37,2,1,1,1
312,9951020259,37,1,1,1,1
313,10072022945,37,1,1,1,1
314,10183778314,37,1,1,2,1
315,10203479947,38,1,1,1,1
316,10251057104,38,1,1,1,1
317,10271668210,38,1,1,1,1
318,10297847932,38,1,1,1,1
319,10317956108,38,1,1,1,1
320,10370186560,38,1,1,1,1
321,10383752751,38,1,1,1,1
322,10404101146,38,1,1,1,1
323,10432416573,38,1,1,1,1
324,10468914172,38,1,1,1,1
325,10485235703,39,1,1,3,1
326,10503269515,39,2,1,2,1
327,10504638216,39,1,1,1,1
328,10584311699,39,1,1,1,1
329,10674637021,39,1,1,1,1
330,10703597563,39,1,1,2,1
331,10734182261,39,1,1,2,1
332,10767788007,40,1,1,1,1
333,10816457218,40,1,1,1,1
334,10821111768,40,1,1,1,1
335,10854892064,40,1,1,1,1
336,10871883659,40,1,1,2,1
337,10921695691,40,1,1,1,1
338,10922688764,40,1,1,1,1
339,11006246912,41,1,1,6,1
340,11014110245,41,1,1,1,1
341,11021973494,41,1,1,1,1
342,11116724650,41,1,1,1,1
343,11138104602,41,1,1,1,1
344,11148488704,41,1,1,2,1
345,11208143312,41,1,1,1,1
346,11209010595,41,1,1,1,1
347,11209440736,41,1,1,1,1
348,11219368059,41,1,1,1,1
349,11271631095,41,1,1,2,1
350,11274993680,42,1,1,1,1
351,11319243808,42,1,2,1,1
352,11341564929,42,1,1,1,1
353,11416929730,42,1,1,1,1
354,11442782210,42,1,1,2,1
355,11458802444,42,1,1,1,1
356,11487346667,42,1,1,1,1
357,11508695091,42,1,1,1,1
358,11534334276,42,1,1,1,1
359,11540590079,42,1,1,1,1
360,11541687712,42,1,1,1,1
361,11541925884,42,1,1,6,1
362,11604336863,43,1,1,1,1
363,11643376127,43,1,1,2,1
364,11666440183,43,1,1,1,1
365,11752505280,43,1,1,2,1
366,11797797630,43,1,1,1,1
367,11810353392,43,1,1,1,1
368,11812146176,44,1,1,4,1
369,11812168112,44,1,1,1,1
370,11841035679,44,1,1,2,1
371,11878451391,44,1,1,1,1
372,11884101553,44,1,1,1,1
373,11943024637,44,1,1,1,1
374,11948294144,44,1,1,1,1
375,11992083456,44,1,1,2,1
376,12045262642,44,1,1,2,1
377,12062867699,44,1,1,2,1
378,12075448304,44,1,1,1,1
379,12079199036,44,1,1,1,1
380,12180722930,45,1,1,1,1
381,12199807025,45,1,1,1,1
382,12213804736,45,1,1,2,1
383,12300896288,45,1,1,1,1
384,12382883632,46,1,1,1,1
385,12412269530,46,1,1,1,1
386,12414107393,46,1,1,1,1
387,12465209321,46,1,1,2,1
388,12479922037,46,1,1,1,1
389,12582666305,46,1,1,1,1
390,12583695168,46,1,1,3,1
391,12603803407,46,1,1,1,1
392,12614355967,46,2,2,3,1
393,12617015432,47,1,1,1,1
394,12650698751,47,1,2,1,1
395,12723155169,47,2,1,1,1
396,12748398463,47,1,1,1,1
397,12817235743,47,1,1,2,1
398,12820972034,47,1,2,2,1
399,12873048044,47,1,1,3,1
400,12881686676,47,1,1,1,1
401,12886147585,48,1,1,3,1
402,12930199480,48,1,1,1,1
403,12933132748,48,1,1,1,1
404,12942311468,48,1,1,1,1
405,12964847680,48,1,1,1,1
406,13003259681,48,1,1,2,1
407,13021213055,48,1,1,1,1
408,13067353855,48,1,1,1,1
409,13087170900,48,1,1,1,1
410,13118912471,48,1,1,1,1
411,13152295616,48,1,1,1,1
412,13153140787,48,1,1,1,1
413,13153333239,48,1,1,3,1
414,13153869987,49,1,1,1,1
415,13154320383,49,1,1,1,1
416,13155629070,49,1,1,1,1
417,13165655240,49,1,1,1,1
418,13179543392,49,1,1,1,1
419,13186093054,49,1,1,1,1
420,13186235623,49,1,1,1,1
421,13218394161,49,1,1,1,1
422,13241933687,49,1,1,1,1
423,13342084139,49,1,1,1,1
424,13417589814,49,1,1,1,1
425,13426434603,50,1,1,1,1
426,13457096669,50,1,1,1,1
427,13548290575,50,1,1,1,1
428,13637110784,50,1,1,1,1
429,13658799616,50,1,2,1,1
430,13686062528,50,1,1,3,1
431,13693330144,51,1,1,1,1
432,13694142656,51,1,1,2,1
433,13702791232,51,2,1,5,1
434,13706248391,51,1,1,1,1
435,13706452214,51,1,1,1,1
436,13723749244,51,1,1,2,1
437,13819313132,51,1,1,1,1
438,13872739299,51,1,1,1,1
439,13890735059,51,1,1,1,1
440,13904904136,51,1,1,1,1
441,13948870519,51,1,1,1,1
442,14021804287,52,2,1,2,1
443,14041604088,52,1,1,1,1
444,14092308735,52,1,1,2,1
445,14094761947,52,2,1,1,1
446,14118552462,52,1,1,1,1
447,14167048185,52,1,1,1,1
448,14195593340,52,1,1,1,1
449,14340291333,53,1,1,1,1
450,14363406338,53,1,1,2,1
451,14443618495,53,1,1,1,1
452,14453009463,53,1,1,1,1
453,14478941567,53,1,1,1,1
454,14496432130,54,1,1,7,1
455,14562490367,54,1,2,1,1
456,14579809983,54,1,1,1,1
457,14663283187,54,1,1,1,1
458,14692856752,54,1,1,1,1
459,14725430794,54,1,1,1,1
460,14730928256,54,1,1,2,1
461,14747201539,54,1,2,1,1
462,14763818353,54,1,1,2,1
463,14814257919,55,1,1,1,1
464,15031827711,55,1,1,1,1
465,15035564039,56,1,1,1,1
466,15048117132,56,1,1,1,1
467,15063830591,56,1,1,3,1
468,15179149826,56,1,1,1,1
469,15231658047,56,1,1,1,1
470,15234530081,56,1,1,1,1
471,15242177776,56,1,1,2,1
472,15250518300,56,1,1,1,1
473,15301543984,57,1,1,1,1
474,15313764352,57,1,1,1,1
475,15354299343,57,1,1,4,1
476,15409872651,57,1,1,2,1
477,15450779820,57,1,2,2,1
478,15468638208,57,1,1,2,1
479,15503393804,57,1,1,1,1
480,15506277119,57,1,1,1,1
481,15511075872,57,1,1,1,1
482,15514685693,57,2,1,1,1
483,15555690368,57,1,1,1,1
484,15567123711,57,1,2,1,1
485,15571419328,58,1,1,2,1
486,15577825284,58,1,1,1,1
487,15594287243,58,1,1,2,1
488,15672016272,58,1,1,1,1
489,15689990151,58,1,1,1,1
490,15701192703,58,1,1,1,1
491,15715058635,58,1,1,1,1
492,15770716104,58,1,1,1,1
493,15850104771,59,2,1,1,1
494,15854207217,59,1,1,1,1
495,15854649356,59,1,1,1,1
496,15938232347,59,1,1,2,1
497,15974138629,59,1,1,1,1
498,15974193152,59,1,1,1,1
499,15980855424,59,1,1,1,1
500,16041119776,59,1,1,1,1
501,16120074247,60,1,1,1,1
502,16172709320,60,1,1,1,1
503,16223502348,60,1,1,1,1
504,16288505857,60,1,1,1,1
505,16307408831,60,1,1,1,1
506,16331841008,60,1,1,1,1
507,16341028224,60,1,1,1,1
508,16441684316,61,1,1,1,1
509,16559145003,61,1,1,2,1
510,16630449868,61,1,1,1,1
511,16643752128,62,1,1,1,1
512,16655452346,62,2,1,1,1
513,16693117950,62,2,1,2,1
514,16703845339,62,1,1,1,1
515,16723471544,62,1,1,1,1
516,16843784748,62,1,1,1,1
517,16897802235,62,1,1,1,1
518,16914609136,63,1,1,2,1
519,16922960061,63,1,1,1,1
520,16944448511,63,1,1,2,1
521,16956260416,63,1,1,1,1
522,16980049696,63,1,1,1,1
523,16980671776,63,1,1,2,1
524,17062419679,63,1,1,1,1
525,17118698543,63,1,2,1,1
526,17120217678,63,1,1,1,1
527,17180000811,64,1,1,1,1
528,17182753472,64,1,1,2,1
529,17213165814,64,1,1,1,1
530,17385517043,64,1,1,2,1
531,17390159808,64,1,1,1,1
532,17394695176,64,1,1,1,1
533,17416269824,64,1,1,2,1
534,17423124349,64,1,1,3,1
535,17431027702,64,1,1,2,1
536,17434804400,64,1,1,1,1
537,17439266678,64,2,1,2,1
538,17449320470,65,2,1,1,1
539,17460048008,65,1,1,1,1
540,17464036352,65,1,1,5,1
541,17493668319,65,1,1,1,1
542,17511350783,65,1,1,2,1
543,17649487665,65,1,1,1,1
544,17706252247,65,1,1,1,1
545,17711564744,65,1,1,1,1
546,17717723134,66,1,1,1,1
547,17720933599,66,1,1,2,1
548,17721068648,66,1,1,1,1
549,17733791756,66,1,1,1,1
550,17749246080,66,1,1,1,1
551,17784927174,66,1,1,1,1
552,17787112899,66,1,1,2,1
553,17836033600,66,1,1,1,1
554,17850174462,66,1,1,1,1
555,17903399694,66,1,1,2,1
556,17949897714,66,1,1,1,1
557,17951643584,66,1,1,2,1
558,17976652799,66,1,2,8,1
559,17988321407,67,1,1,2,1
560,17988453363,67,1,1,1,1
561,18000642816,67,1,1,1,1
562,18019135360,67,1,1,1,1
563,18052334300,67,1,1,1,1
564,18080791817,67,1,1,1,1
565,18111016576,67,1,2,2,1
566,18119259103,67,1,1,1,1
567,18119377663,67,1,2,3,1
