sample_index,token_id_uint64,mask_id,BACILLUS_occurrences,SULFOLOBUS_occurrences,POMBE_occurrences
408,13067353855,48,0,0,0
409,13087170900,48,0,0,0
410,13118912471,48,0,0,0
411,13152295616,48,0,1,0
412,13153140787,48,1,0,0
413,13153333239,48,0,0,3
414,13153869987,49,0,1,0
415,13154320383,49,0,0,6
416,13155629070,49,0,1,1
417,13165655240,49,0,0,1
418,13179543392,49,0,0,0
419,13186093054,49,0,1,0
420,13186235623,49,0,0,1
421,13218394161,49,1,0,0
422,13241933687,49,0,0,1
423,13342084139,49,0,0,0
424,13417589814,49,0,1,1
425,13426434603,50,0,0,0
426,13457096669,50,0,0,0
427,13548290575,50,0,0,0
428,13637110784,50,0,0,0
429,13658799616,50,0,0,0
430,13686062528,50,0,0,1
431,13693330144,51,0,0,0
432,13694142656,51,1,2,1
433,13702791232,51,0,0,8
434,13706248391,51,0,0,1
435,13706452214,51,0,0,0
436,13723749244,51,0,0,0
437,13819313132,51,0,0,0
438,13872739299,51,0,0,0
439,13890735059,51,0,0,2
440,13904904136,51,0,0,0
441,13948870519,51,0,0,0
442,14021804287,52,0,0,2
443,14041604088,52,0,0,1
444,14092308735,52,0,0,0
445,14094761947,52,0,0,0
446,14118552462,52,0,0,0
447,14167048185,52,0,0,0
448,14195593340,52,0,0,0
449,14340291333,53,0,0,0
450,14363406338,53,0,0,3
451,14443618495,53,0,0,0
452,14453009463,53,0,1,0
453,14478941567,53,0,0,0
454,14496432130,54,0,1,4
455,14562490367,54,1,0,3
456,14579809983,54,0,0,0
457,14663283187,54,0,0,0
458,14692856752,54,0,0,0
459,14725430794,54,0,0,0
460,14730928256,54,0,0,3
461,14747201539,54,0,0,2
462,14763818353,54,1,1,0
463,14814257919,55,0,0,0
464,15031827711,55,0,1,1
465,15035564039,56,0,0,0
466,15048117132,56,0,0,1
467,15063830591,56,0,0,1
468,15179149826,56,0,0,0
469,15231658047,56,0,0,0
470,15234530081,56,0,0,0
471,15242177776,56,0,0,0
472,15250518300,56,0,0,0
473,15301543984,57,1,0,0
474,15313764352,57,1,0,0
475,15354299343,57,0,1,1
476,15409872651,57,0,0,0
477,15450779820,57,0,0,0
478,15468638208,57,0,0,2
479,15503393804,57,0,0,0
480,15506277119,57,1,0,2
481,15511075872,57,0,0,0
482,15514685693,57,0,1,0
483,15555690368,57,0,0,0
484,15567123711,57,4,0,2
485,15571419328,58,0,0,3
486,15577825284,58,1,0,6
487,15594287243,58,0,0,0
488,15672016272,58,1,0,0
489,15689990151,58,0,0,0
490,15701192703,58,0,0,0
491,15715058635,58,0,0,0
492,15770716104,58,1,0,0
493,15850104771,59,0,0,0
494,15854207217,59,0,0,2
495,15854649356,59,0,0,1
496,15938232347,59,0,0,0
497,15974138629,59,0,0,0
498,15974193152,59,1,0,0
499,15980855424,59,0,0,1
500,16041119776,59,0,0,1
